

Reading dataset
Dataset read complete...
n users: 75
n items: 3287
Model intialized
Beginning Training...
cuda
mse loss
Training on GPU: 1 devices
iteration: 0 - loss: 12.58727
iteration: 50 - loss: 13.73608
iteration: 100 - loss: 13.97595
iteration: 150 - loss: 13.87824
iteration: 200 - loss: 13.97117
iteration: 250 - loss: 13.73539
iteration: 300 - loss: 13.56921
iteration: 350 - loss: 12.89445
iteration: 400 - loss: 12.15952
iteration: 450 - loss: 11.34082
iteration: 500 - loss: 10.21743
iteration: 550 - loss: 8.20069
iteration: 600 - loss: 6.36179
iteration: 650 - loss: 4.28251
iteration: 700 - loss: 2.78637
iteration: 750 - loss: 1.61255
iteration: 800 - loss: 1.13248
iteration: 850 - loss: 1.01463
iteration: 900 - loss: 0.91191
iteration: 950 - loss: 0.94233
iteration: 1000 - loss: 0.90729
iteration: 1050 - loss: 0.84588
iteration: 1100 - loss: 0.93927
iteration: 1150 - loss: 0.87464
iteration: 1200 - loss: 0.90333
iteration: 1250 - loss: 0.87567
iteration: 1300 - loss: 0.85417
iteration: 1350 - loss: 0.83727
iteration: 1400 - loss: 0.89494
iteration: 1450 - loss: 0.87068
iteration: 1500 - loss: 0.81275
iteration: 1550 - loss: 0.79884
iteration: 1600 - loss: 0.80315
iteration: 1650 - loss: 0.82147
iteration: 1700 - loss: 0.81052
iteration: 1750 - loss: 0.89390
iteration: 1800 - loss: 0.78325
iteration: 1850 - loss: 0.80353
iteration: 1900 - loss: 0.76032
iteration: 1950 - loss: 0.79852
iteration: 2000 - loss: 0.85885
iteration: 2050 - loss: 0.73947
iteration: 2100 - loss: 0.83352
iteration: 2150 - loss: 0.71427
iteration: 2200 - loss: 0.78699
iteration: 2250 - loss: 0.80739
iteration: 2300 - loss: 0.81876
iteration: 2350 - loss: 0.75523
iteration: 2400 - loss: 0.74278
iteration: 2450 - loss: 0.76215
iteration: 2500 - loss: 0.68331
iteration: 2550 - loss: 0.72631
iteration: 2600 - loss: 0.78209
iteration: 2650 - loss: 0.75206
iteration: 2700 - loss: 0.75428
iteration: 2750 - loss: 0.66207
iteration: 2800 - loss: 0.76603
iteration: 2850 - loss: 0.68246
iteration: 2900 - loss: 0.72377
iteration: 2950 - loss: 0.76623
iteration: 3000 - loss: 0.63274
iteration: 3050 - loss: 0.72856
iteration: 3100 - loss: 0.73590
iteration: 3150 - loss: 0.62696
iteration: 3200 - loss: 0.72926
iteration: 3250 - loss: 0.67497
iteration: 3300 - loss: 0.69904
iteration: 3350 - loss: 0.66091
iteration: 3400 - loss: 0.65655
iteration: 3450 - loss: 0.69800
iteration: 3500 - loss: 0.68181
iteration: 3550 - loss: 0.65935
iteration: 3600 - loss: 0.69720
iteration: 3650 - loss: 0.66082
iteration: 3700 - loss: 0.69436
iteration: 3750 - loss: 0.62570
iteration: 3800 - loss: 0.63349
iteration: 3850 - loss: 0.64082
iteration: 3900 - loss: 0.67340
iteration: 3950 - loss: 0.64408
iteration: 4000 - loss: 0.66578
iteration: 4050 - loss: 0.64919
iteration: 4100 - loss: 0.63880
iteration: 4150 - loss: 0.63185
iteration: 4200 - loss: 0.64804
iteration: 4250 - loss: 0.62558
iteration: 4300 - loss: 0.59426
iteration: 4350 - loss: 0.59499
iteration: 4400 - loss: 0.66851
iteration: 4450 - loss: 0.67904
iteration: 4500 - loss: 0.58759
iteration: 4550 - loss: 0.59601
iteration: 4600 - loss: 0.57744
iteration: 4650 - loss: 0.64731
iteration: 4700 - loss: 0.61787
iteration: 4750 - loss: 0.62483
iteration: 4800 - loss: 0.58683
iteration: 4850 - loss: 0.60156
iteration: 4900 - loss: 0.61296
iteration: 4950 - loss: 0.60175
iteration: 5000 - loss: 0.61101
iteration: 5050 - loss: 0.59200
iteration: 5100 - loss: 0.58446
iteration: 5150 - loss: 0.56049
iteration: 5200 - loss: 0.62414
iteration: 5250 - loss: 0.61363
iteration: 5300 - loss: 0.56575
iteration: 5350 - loss: 0.56617
iteration: 5400 - loss: 0.58540
iteration: 5450 - loss: 0.60630
iteration: 5500 - loss: 0.60113
iteration: 5550 - loss: 0.53066
iteration: 5600 - loss: 0.61002
iteration: 5650 - loss: 0.55101
iteration: 5700 - loss: 0.60672
iteration: 5750 - loss: 0.58752
iteration: 5800 - loss: 0.58849
iteration: 5850 - loss: 0.57161
iteration: 5900 - loss: 0.56541
iteration: 5950 - loss: 0.57350
iteration: 6000 - loss: 0.55621
iteration: 6050 - loss: 0.57436
iteration: 6100 - loss: 0.56638
iteration: 6150 - loss: 0.51757
iteration: 6200 - loss: 0.58057
iteration: 6250 - loss: 0.57983
iteration: 6300 - loss: 0.58866
iteration: 6350 - loss: 0.51478
iteration: 6400 - loss: 0.58885
iteration: 6450 - loss: 0.56464
iteration: 6500 - loss: 0.54601
iteration: 6550 - loss: 0.54825
iteration: 6600 - loss: 0.54350
iteration: 6650 - loss: 0.56125
iteration: 6700 - loss: 0.54263
iteration: 6750 - loss: 0.57895
iteration: 6800 - loss: 0.54115
iteration: 6850 - loss: 0.52879
iteration: 6900 - loss: 0.58748
iteration: 6950 - loss: 0.54724
iteration: 7000 - loss: 0.53370
iteration: 7050 - loss: 0.51921
iteration: 7100 - loss: 0.53252
iteration: 7150 - loss: 0.54459
iteration: 7200 - loss: 0.57205
iteration: 7250 - loss: 0.56571
iteration: 7300 - loss: 0.56103
iteration: 7350 - loss: 0.57041
iteration: 7400 - loss: 0.54307
iteration: 7450 - loss: 0.51831
iteration: 7500 - loss: 0.52574
iteration: 7550 - loss: 0.56939
iteration: 7600 - loss: 0.51759
iteration: 7650 - loss: 0.52284
iteration: 7700 - loss: 0.54456
iteration: 7750 - loss: 0.54299
iteration: 7800 - loss: 0.53671
